Title,Year,Conference
Measuring Compositional Consistency for Video Question Answering,2022,CVPR
Category Contrast for Unsupervised Domain Adaptation in Visual Tasks,2022,CVPR
SwapMix: Diagnosing and Regularizing the Over-Reliance on Visual Context in Visual Question Answering,2022,CVPR
UNIST: Unpaired Neural Implicit Shape Translation Network,2022,CVPR
Local-Adaptive Face Recognition via Graph-Based Meta-Clustering and Regularized Adaptation,2022,CVPR
The DEVIL Is in the Details: A Diagnostic Evaluation Benchmark for Video Inpainting,2022,CVPR
Mutual Information-Driven Pan-Sharpening,2022,CVPR
Shifting More Attention to Visual Backbone: Query-Modulated Refinement Networks for End-to-End Visual Grounding,2022,CVPR
A Framework for Learning Ante-Hoc Explainable Models via Concepts,2022,CVPR
Generating Useful Accident-Prone Driving Scenarios via a Learned Traffic Prior,2022,CVPR
FLOAT: Factorized Learning of Object Attributes for Improved Multi-Object Multi-Part Scene Parsing,2022,CVPR
Efficient Geometry-Aware 3D Generative Adversarial Networks,2022,CVPR
DO-GAN: A Double Oracle Framework for Generative Adversarial Networks,2022,CVPR
Dancing Under the Stars: Video Denoising in Starlight,2022,CVPR
FocusCut: Diving Into a Focus View in Interactive Segmentation,2022,CVPR
Medial Spectral Coordinates for 3D Shape Analysis,2022,CVPR
Contextualized Spatio-Temporal Contrastive Learning With Self-Supervision,2022,CVPR
Rethinking Architecture Design for Tackling Data Heterogeneity in Federated Learning,2022,CVPR
APES: Articulated Part Extraction From Sprite Sheets,2022,CVPR
Dressing in the Wild by Watching Dance Videos,2022,CVPR
SPAct: Self-Supervised Privacy Preservation for Action Recognition,2022,CVPR
Uni6D: A Unified CNN Framework Without Projection Breakdown for 6D Pose Estimation,2022,CVPR
De-Rendering 3D Objects in the Wild,2022,CVPR
SPAMs: Structured Implicit Parametric Models,2022,CVPR
Global Sensing and Measurements Reuse for Image Compressed Sensing,2022,CVPR
SeeThroughNet: Resurrection of Auxiliary Loss by Preserving Class Probability Information,2022,CVPR
Representing 3D Shapes With Probabilistic Directed Distance Fields,2022,CVPR
Learning ABCs: Approximate Bijective Correspondence for Isolating Factors of Variation With Weak Supervision,2022,CVPR
ABO: Dataset and Benchmarks for Real-World 3D Object Understanding,2022,CVPR
DETReg: Unsupervised Pretraining With Region Priors for Object Detection,2022,CVPR
Learning To Restore 3D Face From In-the-Wild Degraded Images,2022,CVPR
Practical Evaluation of Adversarial Robustness via Adaptive Auto Attack,2022,CVPR
Convolutions for Spatial Interaction Modeling,2022,CVPR
MS-TCT: Multi-Scale Temporal ConvTransformer for Action Detection,2022,CVPR
Salvage of Supervision in Weakly Supervised Object Detection,2022,CVPR
Cross-View Transformers for Real-Time Map-View Semantic Segmentation,2022,CVPR
Distinguishing Unseen From Seen for Generalized Zero-Shot Learning,2022,CVPR
Online Continual Learning on a Contaminated Data Stream With Blurry Task Boundaries,2022,CVPR
Controllable Dynamic Multi-Task Architectures,2022,CVPR
Learning To Imagine: Diversify Memory for Incremental Learning Using Unlabeled Data,2022,CVPR
SmartAdapt: Multi-Branch Object Detection Framework for Videos on Mobiles,2022,CVPR
VL-Adapter: Parameter-Efficient Transfer Learning for Vision-and-Language Tasks,2022,CVPR
