Title,Year,Conference
Measuring Compositional Consistency for Video Question Answering,2022,cvpr
Category Contrast for Unsupervised Domain Adaptation in Visual Tasks,2022,cvpr
SwapMix: Diagnosing and Regularizing the Over-Reliance on Visual Context in Visual Question Answering,2022,cvpr
UNIST: Unpaired Neural Implicit Shape Translation Network,2022,cvpr
Local-Adaptive Face Recognition via Graph-Based Meta-Clustering and Regularized Adaptation,2022,cvpr
The DEVIL Is in the Details: A Diagnostic Evaluation Benchmark for Video Inpainting,2022,cvpr
Mutual Information-Driven Pan-Sharpening,2022,cvpr
Shifting More Attention to Visual Backbone: Query-Modulated Refinement Networks for End-to-End Visual Grounding,2022,cvpr
A Framework for Learning Ante-Hoc Explainable Models via Concepts,2022,cvpr
Generating Useful Accident-Prone Driving Scenarios via a Learned Traffic Prior,2022,cvpr
FLOAT: Factorized Learning of Object Attributes for Improved Multi-Object Multi-Part Scene Parsing,2022,cvpr
Efficient Geometry-Aware 3D Generative Adversarial Networks,2022,cvpr
DO-GAN: A Double Oracle Framework for Generative Adversarial Networks,2022,cvpr
Dancing Under the Stars: Video Denoising in Starlight,2022,cvpr
FocusCut: Diving Into a Focus View in Interactive Segmentation,2022,cvpr
Medial Spectral Coordinates for 3D Shape Analysis,2022,cvpr
Contextualized Spatio-Temporal Contrastive Learning With Self-Supervision,2022,cvpr
Rethinking Architecture Design for Tackling Data Heterogeneity in Federated Learning,2022,cvpr
APES: Articulated Part Extraction From Sprite Sheets,2022,cvpr
Dressing in the Wild by Watching Dance Videos,2022,cvpr
SPAct: Self-Supervised Privacy Preservation for Action Recognition,2022,cvpr
Uni6D: A Unified CNN Framework Without Projection Breakdown for 6D Pose Estimation,2022,cvpr
De-Rendering 3D Objects in the Wild,2022,cvpr
SPAMs: Structured Implicit Parametric Models,2022,cvpr
Global Sensing and Measurements Reuse for Image Compressed Sensing,2022,cvpr
SeeThroughNet: Resurrection of Auxiliary Loss by Preserving Class Probability Information,2022,cvpr
Representing 3D Shapes With Probabilistic Directed Distance Fields,2022,cvpr
Learning ABCs: Approximate Bijective Correspondence for Isolating Factors of Variation With Weak Supervision,2022,cvpr
ABO: Dataset and Benchmarks for Real-World 3D Object Understanding,2022,cvpr
DETReg: Unsupervised Pretraining With Region Priors for Object Detection,2022,cvpr
Learning To Restore 3D Face From In-the-Wild Degraded Images,2022,cvpr
Practical Evaluation of Adversarial Robustness via Adaptive Auto Attack,2022,cvpr
Convolutions for Spatial Interaction Modeling,2022,cvpr
MS-TCT: Multi-Scale Temporal ConvTransformer for Action Detection,2022,cvpr
Salvage of Supervision in Weakly Supervised Object Detection,2022,cvpr
Cross-View Transformers for Real-Time Map-View Semantic Segmentation,2022,cvpr
Distinguishing Unseen From Seen for Generalized Zero-Shot Learning,2022,cvpr
Online Continual Learning on a Contaminated Data Stream With Blurry Task Boundaries,2022,cvpr
Controllable Dynamic Multi-Task Architectures,2022,cvpr
Learning To Imagine: Diversify Memory for Incremental Learning Using Unlabeled Data,2022,cvpr
SmartAdapt: Multi-Branch Object Detection Framework for Videos on Mobiles,2022,cvpr
VL-Adapter: Parameter-Efficient Transfer Learning for Vision-and-Language Tasks,2022,cvpr
